dataset,classifier,algo,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_trials
horse-colic,xgb,PSO,2.0,0.15240926485436723,0.0,1.838158594382359,0.0,0.6716114253611082,0.0,8
horse-colic,xgb,WOA,2.0,0.15240926485436723,0.0,1.838158594382359,0.0,0.6716114253611082,0.0,4
kc1,rf,GA,2.0,0.6231266505493341,0.0,11.68456518514188,0.0,0.24431533205809278,0.0,7
kc1,rf,GWO,2.0,0.6231266505493341,0.0,11.68456518514188,0.0,0.24431533205809278,0.0,4
kc1,rf,PSO,2.0,0.6231266505493341,0.0,11.68456518514188,0.0,0.24431533205809278,0.0,4
kc1,rf,WOA,2.0,0.6231266505493342,0.0,11.68456518514188,0.0,0.2443153320580928,0.0,13
kc1,svm,GA,2.0,0.6491819761176709,0.0,14.052140878344693,0.0,0.22882080450541215,0.0,5
kc1,svm,GWO,2.0,0.6491819761176709,0.0,14.052140878344693,0.0,0.22882080450541212,0.0,9
kc1,svm,PSO,2.0,0.6491819761176709,0.0,14.052140878344693,0.0,0.22882080450541212,0.0,4
kc1,svm,WOA,2.0,0.6491819761176709,0.0,14.052140878344693,0.0,0.22882080450541212,0.0,8
kc1,xgb,GA,2.0,0.697838236670899,0.0,18.137711976709372,0.0,0.1938851814025876,0.0,2
kc1,xgb,GWO,2.0,0.697838236670899,0.0,18.137711976709372,0.0,0.1938851814025876,0.0,8
kc1,xgb,PSO,2.0,0.697838236670899,0.0,18.137711976709372,0.0,0.1938851814025876,0.0,8
kc1,xgb,WOA,2.0,0.697838236670899,0.0,18.137711976709372,0.0,0.1938851814025876,0.0,9
mammographic-mass,rf,GA,2.0,0.5300969434845552,0.0,7.359697757494918,0.0,0.33653774977157785,0.0,2
mammographic-mass,rf,GWO,2.0,0.5300969434845552,0.0,7.359697757494918,0.0,0.33653774977157785,0.0,9
mammographic-mass,rf,PSO,2.0,0.5300969434845552,0.0,7.359697757494918,0.0,0.33653774977157785,0.0,8
mammographic-mass,rf,WOA,2.0,0.5300969434845552,0.0,7.359697757494918,0.0,0.33653774977157785,0.0,8
mammographic-mass,svm,GA,3.3333333333333335,0.34840755479155067,0.14387574002571618,5.410797274423686,0.7629874230475584,0.45795514576819557,0.09713075750603113,3
mammographic-mass,svm,GWO,2.3076923076923075,0.4732016821515953,0.10139794582216118,6.29756765197302,0.07337498559924735,0.3863176721719751,0.09136962350096368,13
mammographic-mass,svm,PSO,3.5,0.3688361097617121,0.15870134250247406,6.38953153001327,1.1082258978177826,0.4929889681308677,0.15245731318834896,4
mammographic-mass,svm,WOA,2.0,0.5013244123737893,0.0,6.2772170925180575,0.0,0.3609762981294702,0.0,8
mammographic-mass,xgb,GA,4.0,0.4041110988073491,0.0,5.49323472956304,0.0,0.3922544098177725,0.0,2
mammographic-mass,xgb,GWO,4.25,0.3669878553998718,0.07424648681495463,5.227190757247895,0.5320879446302883,0.4063441012471984,0.028179382858851767,4
mammographic-mass,xgb,PSO,5.0,0.34034324461779064,0.07363277556397274,5.302731470243503,0.2199742160992707,0.4084701883305907,0.018724368178989842,4
mammographic-mass,xgb,WOA,2.7777777777777777,0.42057288212431926,0.03490449862468952,5.269158804487493,0.40240254094053834,0.40482315584213036,0.032423082742577075,18
ozone-level-8hr,rf,GA,2.0,0.43698814749899173,0.0,5.375414662278836,0.0,0.4049814787163541,0.0,5
ozone-level-8hr,rf,GWO,2.0,0.43698814749899173,0.0,5.375414662278836,0.0,0.40498147871635415,0.0,4
ozone-level-8hr,rf,PSO,2.0,0.43698814749899173,0.0,5.375414662278836,0.0,0.40498147871635415,0.0,4
ozone-level-8hr,rf,WOA,2.0,0.43698814749899173,0.0,5.375414662278836,0.0,0.40498147871635415,0.0,17
ozone-level-8hr,svm,GA,2.0,0.44039376133045227,0.0,5.39571100376614,0.0,0.4042486350716631,0.0,5
ozone-level-8hr,svm,GWO,2.0,0.44039376133045227,0.0,5.39571100376614,0.0,0.4042486350716631,0.0,4
ozone-level-8hr,svm,PSO,2.0,0.44039376133045227,0.0,5.39571100376614,0.0,0.4042486350716631,0.0,8
ozone-level-8hr,svm,WOA,2.0,0.44039376133045227,0.0,5.39571100376614,0.0,0.4042486350716631,0.0,9
ozone-level-8hr,xgb,GA,2.0,0.4378413569970361,0.0,5.306313793553344,0.0,0.4075500137006002,0.0,7
ozone-level-8hr,xgb,GWO,2.0,0.4378413569970361,0.0,5.306313793553344,0.0,0.4075500137006002,0.0,8
ozone-level-8hr,xgb,PSO,2.0,0.4378413569970361,0.0,5.306313793553344,0.0,0.4075500137006002,0.0,8
ozone-level-8hr,xgb,WOA,2.0,0.4378413569970361,0.0,5.306313793553344,0.0,0.4075500137006002,0.0,5
phoneme,rf,GA,14.0,0.06282969710365975,,12.808012497775827,,0.6757725303481698,,1
phoneme,rf,GWO,8.11111111111111,0.13991039650847098,0.13157031602804095,11.459923074590058,7.450416843054331,0.6580933225657714,0.17183949391358533,9
