,dataset,classifier,method,pop_size,iterations,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_seeds
130,congressional-voting,rf,EvoCluster_PSO,50.0,50.0,2.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
131,congressional-voting,rf,Meta_GA,20.0,30.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
132,congressional-voting,rf,Meta_GA,20.0,50.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
133,congressional-voting,rf,Meta_GA,50.0,30.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
134,congressional-voting,rf,Meta_GA,50.0,50.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
135,congressional-voting,rf,Meta_GWO,20.0,30.0,3.0,0.16625099465662876,0.027773613320982635,2.0884473131231145,0.028188303885489565,0.5782677586861882,0.005260889069566244,10
136,congressional-voting,rf,Meta_GWO,20.0,50.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
137,congressional-voting,rf,Meta_GWO,50.0,30.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
138,congressional-voting,rf,Meta_GWO,50.0,50.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
139,congressional-voting,rf,Meta_PSO,20.0,30.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
140,congressional-voting,rf,Meta_PSO,20.0,50.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
141,congressional-voting,rf,Meta_PSO,50.0,30.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
142,congressional-voting,rf,Meta_PSO,50.0,50.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
143,congressional-voting,rf,Meta_WOA,20.0,30.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
144,congressional-voting,rf,Meta_WOA,20.0,50.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
145,congressional-voting,rf,Meta_WOA,50.0,30.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
146,congressional-voting,rf,Meta_WOA,50.0,50.0,3.0,0.1750337823513386,0.0,2.0973612374886264,0.0,0.5766041194884569,0.0,10
147,congressional-voting,svm,AffinityPropagation,,,3.0,0.12361403436861718,0.0,2.137931034482759,0.0,0.5605363681345747,0.0,10
148,congressional-voting,svm,EvoCluster_PSO,20.0,30.0,3.0,0.12361403436861718,0.0,2.137931034482759,0.0,0.5605363681345747,0.0,10
149,congressional-voting,svm,EvoCluster_PSO,20.0,50.0,3.0,0.12361403436861718,0.0,2.137931034482759,0.0,0.5605363681345747,0.0,10
150,congressional-voting,svm,EvoCluster_PSO,50.0,30.0,3.0,0.12361403436861718,0.0,2.137931034482759,0.0,0.5605363681345747,0.0,10
151,congressional-voting,svm,EvoCluster_PSO,50.0,50.0,3.0,0.12361403436861718,0.0,2.137931034482759,0.0,0.5605363681345747,0.0,10
152,congressional-voting,svm,Meta_GA,20.0,30.0,3.0,0.12361403436861718,0.0,2.137931034482759,0.0,0.5605363681345747,0.0,10
153,congressional-voting,svm,Meta_GA,20.0,50.0,3.0,0.1297758335523746,0.019485319905239874,2.1245270360928488,0.042387164665345714,0.5632237052554349,0.008498106142637171,10
154,congressional-voting,svm,Meta_GA,50.0,30.0,3.0,0.12361403436861718,0.0,2.137931034482759,0.0,0.5605363681345747,0.0,10
155,congressional-voting,svm,Meta_GA,50.0,50.0,3.0,0.12361403436861718,0.0,2.137931034482759,0.0,0.5605363681345747,0.0,10
