,dataset,classifier,method,pop_size,iterations,num_clusters_mean,silhouette_mean,silhouette_std,ch_mean,ch_std,db_mean,db_std,n_seeds
120,diabetes,svm,EvoCluster_PSO,20.0,30.0,2.4,0.34770374180077496,0.09214664961070601,4.095256271975486,0.3833928573286264,0.47294841218237743,0.03482449889183883,10
121,diabetes,svm,EvoCluster_PSO,20.0,50.0,2.0,0.3768430709531048,0.0,4.21649573875533,0.0,0.46193593869515537,0.0,10
122,diabetes,svm,EvoCluster_PSO,50.0,30.0,2.0,0.3768430709531048,0.0,4.21649573875533,0.0,0.46193593869515537,0.0,10
123,diabetes,svm,EvoCluster_PSO,50.0,50.0,2.0,0.3768430709531048,0.0,4.21649573875533,0.0,0.46193593869515537,0.0,10
124,diabetes,svm,Meta_GWO,20.0,30.0,9.0,0.2134388569660087,0.18900627911911735,3.518830850925093,0.7935685423530285,0.611370503967994,0.20461081148630292,10
125,diabetes,svm,Meta_GWO,20.0,50.0,9.0,0.3386534998003715,0.08068019989232036,4.018597582678352,0.4212198556877962,0.4821116859508302,0.04254060006930476,10
126,diabetes,svm,Meta_GWO,50.0,30.0,9.0,0.3236291607361999,0.08608706216301748,3.9461265909453234,0.4389882667609938,0.49126354198071664,0.04755491117713233,10
127,diabetes,svm,Meta_GWO,50.0,50.0,9.0,0.32664852966133784,0.1587290765893539,4.008708272645773,0.6570816621412453,0.4986298273215768,0.11603626426803894,10
128,diabetes,svm,Meta_PSO,20.0,30.0,9.0,0.16368040299221503,0.16976735421735567,3.3710371356494653,0.7549818706930903,0.6543592635251463,0.17149280147772442,10
129,diabetes,svm,Meta_PSO,20.0,50.0,9.0,0.17335263823556654,0.1969288006207019,3.1633651708619768,0.9504653618150225,0.5971465981830761,0.15331341270078813,10
130,diabetes,svm,Meta_PSO,50.0,30.0,9.0,0.25745443907092525,0.13718130696799644,3.7531551003594386,0.6346226444139386,0.5524309386271166,0.12143815787228383,10
131,diabetes,svm,Meta_PSO,50.0,50.0,9.0,0.32123815156877067,0.12350082134765288,3.888542382923343,0.6942829128529273,0.49312836613732014,0.06619446735572156,10
132,diabetes,svm,Meta_WOA,20.0,30.0,9.0,0.3320076089545182,0.09969103517660576,4.01817895295876,0.4308514394518888,0.4816470393565231,0.04191100864308892,10
133,diabetes,svm,Meta_WOA,20.0,50.0,9.0,0.24931220767430587,0.16906626800243135,3.536659262623459,0.7660514950960867,0.5606629073321066,0.15531894571833704,10
134,diabetes,svm,Meta_WOA,50.0,30.0,9.0,0.3768430709531048,0.0,4.21649573875533,0.0,0.46193593869515537,0.0,10
135,diabetes,svm,Meta_WOA,50.0,50.0,9.0,0.3768430709531048,0.0,4.21649573875533,0.0,0.46193593869515537,0.0,10
136,diabetes,xgb,AffinityPropagation,,,9.0,0.17450507264943343,0.0,10.921147418051332,0.0,1.16952079224931,0.0,10
137,diabetes,xgb,EvoCluster_PSO,20.0,30.0,2.1,0.39727222227554726,0.03770443813243032,4.634153727118301,0.5263055957145047,0.44038317515678677,0.03195882278592208,10
138,diabetes,xgb,EvoCluster_PSO,20.0,50.0,2.0,0.4091954125150858,0.0,4.8005861698932595,0.0,0.43027690802266666,0.0,10
139,diabetes,xgb,EvoCluster_PSO,50.0,30.0,2.0,0.4091954125150858,0.0,4.8005861698932595,0.0,0.43027690802266666,0.0,10
140,diabetes,xgb,EvoCluster_PSO,50.0,50.0,2.0,0.4091954125150858,0.0,4.8005861698932595,0.0,0.43027690802266666,0.0,10
141,diabetes,xgb,Meta_GWO,20.0,30.0,9.0,0.32189074655120686,0.10861038885298006,4.219316099724963,0.781809445982442,0.5022211808144867,0.09124587969803405,10
142,diabetes,xgb,Meta_GWO,20.0,50.0,9.0,0.4091954125150858,0.0,4.8005861698932595,0.0,0.43027690802266666,0.0,10
143,diabetes,xgb,Meta_GWO,50.0,30.0,9.0,0.37356641198613777,0.05841860903707271,4.3833689024922355,0.7120862713355078,0.45805175029136985,0.04530355673596318,10
144,diabetes,xgb,Meta_GWO,50.0,50.0,9.0,0.38739171637797504,0.0689493412034849,4.621944371720156,0.5649149675351145,0.4425609804495515,0.03884564781142832,10
145,diabetes,xgb,Meta_PSO,20.0,30.0,9.0,0.3162807376828109,0.11436310782891453,4.22724099580265,0.7807462266490638,0.48227963376576605,0.0720555495284472,10
146,diabetes,xgb,Meta_PSO,20.0,50.0,9.0,0.3825541307858394,0.05631263916532781,4.64574818507244,0.3295922389350893,0.4430578858797093,0.026981747020022352,10
147,diabetes,xgb,Meta_PSO,50.0,30.0,9.0,0.39500960033564525,0.044859476946389365,4.71350091296099,0.2753877625269374,0.4369673657077596,0.021157084873871444,10
148,diabetes,xgb,Meta_PSO,50.0,50.0,9.0,0.4091954125150858,0.0,4.8005861698932595,0.0,0.43027690802266666,0.0,10
149,diabetes,xgb,Meta_WOA,20.0,30.0,9.0,0.3407591950716992,0.10560564147478431,4.181227813019044,0.878616232545057,0.4781370044161851,0.07280223453798938,10
150,diabetes,xgb,Meta_WOA,20.0,50.0,9.0,0.3996816772024566,0.03008507264388216,4.631053243952946,0.5361101843640317,0.4404594129387768,0.03219990782076955,10
151,diabetes,xgb,Meta_WOA,50.0,30.0,9.0,0.39727222227554726,0.03770443813243032,4.634153727118301,0.5263055957145047,0.44038317515678677,0.03195882278592205,10
152,diabetes,xgb,Meta_WOA,50.0,50.0,9.0,0.4091954125150858,0.0,4.8005861698932595,0.0,0.43027690802266666,0.0,10
153,hill_valley,rf,AffinityPropagation,,,42.0,0.47161790654740077,0.22906263351973585,3418.7522642690624,1812.6190377765786,0.29071008220039374,0.03044438580396401,10
