dataset,classifier,method,trial,algo,pop_size,iterations,num_clusters,silhouette,calinski_harabasz,davies_bouldin
column,svm,Optuna_Auto,5,GWO,26,20,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,6,PSO,74,45,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,7,PSO,72,89,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,8,GWO,45,11,4,0.2356378567563128,4.300657335032885,0.45826035908430074
column,svm,Optuna_Auto,9,WOA,90,34,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,12,WOA,76,26,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,14,PSO,86,10,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,15,GA,60,54,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,16,GWO,99,37,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,17,WOA,37,22,3,0.35162106676803734,4.4765436770333435,0.45062103936032466
column,svm,Optuna_Auto,19,PSO,66,55,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,20,PSO,49,17,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,21,PSO,10,44,5,0.10450310476706239,6.2596430467547135,0.674004109864213
column,svm,Optuna_Auto,22,PSO,30,29,6,0.16081680822023453,4.162642180464367,0.4689550939594134
column,svm,Optuna_Auto,23,PSO,24,39,4,0.2356378567563128,4.300657335032885,0.45826035908430074
column,svm,Optuna_Auto,24,PSO,52,50,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,25,GA,34,67,6,0.13282507305756608,3.858701074300084,0.488422155261784
column,svm,Optuna_Auto,26,GWO,64,61,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,27,WOA,19,26,3,0.20279516018336924,2.9218601555207364,0.523780085083546
column,svm,Optuna_Auto,28,PSO,91,39,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,svm,Optuna_Auto,29,PSO,79,46,2,0.43798759243496727,5.04430469347762,0.40346957757615315
column,xgb,Optuna_Auto,1,WOA,41,58,4,0.2855766602987681,4.067741340452188,0.40870450423131155
column,xgb,Optuna_Auto,2,WOA,18,39,4,0.2855766602987681,4.067741340452188,0.40870450423131155
column,xgb,Optuna_Auto,3,PSO,21,83,4,0.2855766602987681,4.067741340452188,0.4087045042313115
column,xgb,Optuna_Auto,4,WOA,48,61,4,0.2855766602987681,4.067741340452188,0.4087045042313115
column,xgb,Optuna_Auto,5,PSO,36,87,4,0.2855766602987681,4.067741340452188,0.4087045042313115
column,xgb,Optuna_Auto,6,WOA,79,41,4,0.22468788220224592,3.8662374470430154,0.427298557721166
column,xgb,Optuna_Auto,7,GWO,81,27,4,0.2855766602987681,4.067741340452188,0.4087045042313115
